round_id,agent_count,byzantine_count,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,api_calls_count,timestamp
0,10,3,0.8,true,174.3591081758485,56.785714285714285,0,261796,0,30,1770627727
1,10,2,0.8,true,92.5,33.4375,0,256647,0,30,1770627984
2,10,3,0.8,true,8.75,35,0.25,222487,0,30,1770628206
3,10,4,0.8,true,98.6201601647132,14.166666666666666,0,266565,0,30,1770628473
4,10,2,0.8,true,92.5,33.4375,0,237917,0,30,1770628711
5,10,0,0.8,true,92.5,44,0,222657,0,30,1770628933
6,10,4,0.8,true,186.1201760593961,67.5,0,226457,0,30,1770629160
7,10,4,0.8,true,193.74791159598635,61.333333333333336,0,247465,0,30,1770629407
8,10,0,0.8,true,92.5,44,0,255897,0,30,1770629663
9,10,3,0.8,true,182.99180347587995,56.785714285714285,0,237772,0,30,1770629901
10,10,1,0.8,true,92.5,49.72222222222222,0.13966480446927376,232814,0,30,1770630134
11,10,4,0.8,true,161.4885445059393,65.83333333333333,0,245994,0,30,1770630380
12,10,3,0.8,true,146.29033002453414,57.142857142857146,0,214404,0,30,1770630594
13,10,3,0.8,true,158.1917899944235,56.785714285714285,0,216086,0,30,1770630810
14,10,4,0.8,true,150.30365982702608,72.5,0,223669,0,30,1770631034
15,10,3,0.8,true,105.36978059703097,34.642857142857146,0,265533,0,30,1770631299
16,10,3,0.8,true,175.25728423456556,58.214285714285715,0,229328,0,30,1770631529
17,10,1,0.8,false,0,49.72222222222222,0,241174,0,30,1770631770
18,10,3,0.8,true,98.340537476747,34.642857142857146,0,224497,0,30,1770631994
19,10,3,0.8,true,89.81182138315147,58.214285714285715,0.45722024617899326,265653,1,30,1770632260
20,10,2,0.8,true,93.74196604437088,34.6875,0,247679,0,30,1770632508
21,10,1,0.8,false,0,48.888888888888886,0,237222,0,30,1770632745
22,10,3,0.8,true,170,56.785714285714285,0,232965,0,30,1770632978
23,10,1,0.8,true,118.33333333333333,48.611111111111114,0,232195,0,30,1770633210
24,10,0,0.8,true,130.625,60.5,0,251510,0.9999999999999998,30,1770633462
