round_id,agent_count,byzantine_count,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,api_calls_count,timestamp
0,10,2,0.8,false,0,51.5625,0,217297,0,30,1770697145
1,10,0,0.8,true,170,59.5,0,233914,0,30,1770697379
2,10,4,0.8,true,98.61567498980668,42.25,0,206468,0,30,1770697586
3,10,3,0.8,true,62.5,34.642857142857146,0.195876288659794,229513,0,30,1770697815
4,10,1,0.8,true,71.5,66.94444444444444,0.9319502074688797,197059,0,30,1770698012
5,10,2,0.8,true,106.56099601924743,58.25,0.17062667778116003,220183,0,30,1770698232
6,10,0,0.8,true,66.66666666666667,28.5,0,198987,0,30,1770698431
7,10,3,0.8,true,170,57.142857142857146,0,193614,0,30,1770698625
8,10,2,0.8,true,128.05181126359733,54.0625,0,236006,1,30,1770698861
9,10,1,0.8,true,87.5,47.5,0.1578947368421053,237189,0,30,1770699098
10,10,2,0.8,false,0,52.8125,0,246649,0,30,1770699345
11,10,4,0.8,true,87.5,38.333333333333336,0,242698,0,30,1770699588
12,10,2,0.8,true,8.453872484320769,34.6875,0.24371524279122936,262312,1,30,1770699850
13,10,2,0.8,true,119.83805956117696,53.0625,0,271011,0,30,1770700121
14,10,4,0.8,true,102.63491696372425,40,0,212629,0,30,1770700334
15,10,4,0.8,true,64.31476134947215,40,0.3921309662631962,138056,0,30,1770700472
