round_id,agent_count,byzantine_count,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,api_calls_count,timestamp
0,3,0,0.8,true,95,64.33333333333333,0.5233160621761657,11875,0,6,1770017462
1,3,0,0.85,true,97.50000000000001,66,0.5227272727272725,7989,0,6,1770017470
2,3,0,0.9,true,95,64.33333333333333,0.5233160621761657,8739,0,6,1770017479
3,3,1,0.8,false,0,97.5,0,7409,0,6,1770017486
4,3,1,0.85,true,95.00000000000001,95,0.9999999999999999,8851,0,6,1770017495
5,3,1,0.9,true,95,95,1,8355,0,6,1770017503
6,3,1,0.8,true,95.00000000000001,95,0.9999999999999999,8119,0,6,1770017511
7,3,1,0.85,false,0,97.5,0,7526,0,6,1770017519
8,3,1,0.9,true,95,95,1,7950,0,6,1770017527
9,5,0,0.8,true,123.33333333333336,75.2,0.35992907801418417,12664,0,10,1770017539
