round_id,agent_count,byzantine_count,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,api_calls_count,timestamp
0,10,1,0.8,true,96.66666666666669,65.44444444444444,0.5229202037351439,240767,0,30,1770277309
1,10,1,0.8,true,112,64.88888888888889,0.2739726027397259,233439,0,30,1770277542
2,10,4,0.8,true,109.51819516280362,64.33333333333333,0.2976446347750731,242463,0,30,1770277785
3,10,3,0.8,true,97.16659915763455,57,0.2953228217958851,255641,0,30,1770278040
4,10,3,0.8,true,85.77995079321886,56.285714285714285,0.4759907219478883,272826,0,30,1770278313
5,10,3,0.8,true,91.04031594742656,55.57142857142857,0.36174238655016455,255643,0,30,1770278569
6,10,1,0.8,true,109,63.22222222222222,0.2759226713532513,244737,0,30,1770278814
7,10,3,0.8,true,82.37384964614353,56.285714285714285,0.5365052093324754,246154,0,30,1770279060
8,10,4,0.8,true,101.08679357546033,64.33333333333333,0.4287026905368859,239819,0,30,1770279300
9,10,0,0.8,true,95.00000000000001,58.2,0.367697594501718,241216,0,30,1770279541
10,10,1,0.8,true,113.00000000000003,65.44444444444444,0.27334465195246127,270477,0,30,1770279811
11,10,2,0.8,true,109.7976602862082,51.125,0,264903,0,30,1770280076
12,10,2,0.8,true,100.83004120571114,49.875,0,273525,0,30,1770280350
13,10,3,0.8,true,107.70737577182861,55.57142857142857,0.061821001535217746,279259,0,30,1770280629
