round_id,agent_count,byzantine_count,byzantine_ratio,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,outlier_count
68,3,0,0.00,0.80,true,103.0869,103.0869,1.0000,0,1.0000,0
69,3,0,0.00,0.80,true,100.4232,100.4232,1.0000,0,1.0000,0
70,3,0,0.00,0.80,true,93.9754,93.9754,1.0000,0,1.0000,0
71,3,0,0.00,0.80,true,98.9626,98.9626,1.0000,0,1.0000,0
72,3,0,0.00,0.80,true,100.6638,100.6638,1.0000,0,1.0000,0
73,3,0,0.00,0.80,true,101.2928,101.2928,1.0000,0,1.0000,0
74,3,0,0.00,0.80,true,99.9207,99.9207,1.0000,0,1.0000,0
75,3,0,0.00,0.80,true,98.1693,98.1693,1.0000,0,1.0000,0
76,3,0,0.00,0.80,true,100.1894,100.1894,1.0000,0,1.0000,0
77,3,0,0.00,0.80,true,104.6606,104.6606,1.0000,0,1.0000,0
78,3,0,0.00,0.80,true,104.0966,104.0966,1.0000,0,1.0000,0
79,3,0,0.00,0.80,true,103.5597,103.5597,1.0000,0,1.0000,0
80,3,0,0.00,0.80,true,93.7536,93.7536,1.0000,0,1.0000,0
81,3,0,0.00,0.80,true,97.3012,97.3012,1.0000,0,1.0000,0
82,3,0,0.00,0.80,true,96.9206,96.9206,1.0000,0,1.0000,0
83,3,0,0.00,0.80,true,98.2221,98.2221,1.0000,0,1.0000,0
84,3,0,0.00,0.80,true,98.4985,98.4985,1.0000,0,1.0000,0
85,3,0,0.00,0.80,true,96.3738,96.3738,1.0000,0,1.0000,0
86,3,0,0.00,0.80,true,102.0670,102.0670,1.0000,0,1.0000,0
87,3,0,0.00,0.80,true,97.0849,97.0849,1.0000,0,1.0000,0
88,3,0,0.00,0.80,true,105.4584,105.4584,1.0000,0,1.0000,0
89,3,0,0.00,0.80,true,103.9582,103.9582,1.0000,0,1.0000,0
90,3,0,0.00,0.85,true,103.0247,103.0247,1.0000,0,1.0000,0
91,3,0,0.00,0.85,true,98.2091,98.2091,1.0000,0,1.0000,0
92,3,0,0.00,0.85,true,97.3466,97.3466,1.0000,0,1.0000,0
93,3,0,0.00,0.85,true,99.2422,99.2422,1.0000,0,1.0000,0
94,3,0,0.00,0.85,true,99.5140,99.5140,1.0000,0,1.0000,0
95,3,0,0.00,0.85,true,95.9015,95.9015,1.0000,0,1.0000,0
96,3,0,0.00,0.85,true,101.9036,101.9036,1.0000,0,1.0000,0
97,3,0,0.00,0.85,true,105.6088,105.6088,1.0000,0,1.0000,0
98,3,0,0.00,0.85,true,99.9129,99.9129,1.0000,0,1.0000,0
99,3,0,0.00,0.85,true,98.6036,98.6036,1.0000,0,1.0000,0
100,3,0,0.00,0.85,true,96.1110,96.1110,1.0000,0,1.0000,0
101,3,0,0.00,0.85,true,98.9287,98.9287,1.0000,0,1.0000,0
102,3,0,0.00,0.85,true,103.7794,103.7794,1.0000,0,1.0000,0
103,3,0,0.00,0.85,true,95.0501,95.0501,1.0000,0,1.0000,0
104,3,0,0.00,0.85,true,98.1079,98.1079,1.0000,0,1.0000,0
105,3,0,0.00,0.85,true,95.4870,95.4870,1.0000,0,1.0000,0
106,3,0,0.00,0.85,true,102.5758,102.5758,1.0000,0,1.0000,0
107,3,0,0.00,0.85,true,95.7160,95.7160,1.0000,0,1.0000,0
108,3,0,0.00,0.85,true,97.4609,97.4609,1.0000,0,1.0000,0
109,3,0,0.00,0.85,true,97.9367,97.9367,1.0000,0,1.0000,0
110,3,0,0.00,0.85,true,96.9046,96.9046,1.0000,0,1.0000,0
111,3,0,0.00,0.85,true,99.8761,99.8761,1.0000,0,1.0000,0
112,3,0,0.00,0.85,true,104.2558,104.2558,1.0000,0,1.0000,0
113,3,0,0.00,0.85,true,95.2247,95.2247,1.0000,0,1.0000,0
114,3,0,0.00,0.85,true,98.5847,98.5847,1.0000,0,1.0000,0
115,3,0,0.00,0.85,true,97.4347,97.4347,1.0000,0,1.0000,0
116,3,0,0.00,0.85,true,98.1091,98.1091,1.0000,0,1.0000,0
117,3,0,0.00,0.85,true,97.4476,97.4476,1.0000,0,1.0000,0
118,3,0,0.00,0.85,true,97.4586,97.4586,1.0000,0,1.0000,0
119,3,0,0.00,0.85,true,93.6157,93.6157,1.0000,0,1.0000,0
120,3,0,0.00,0.90,true,100.2742,100.2742,1.0000,0,1.0000,0
121,3,0,0.00,0.90,true,94.6736,94.6736,1.0000,0,1.0000,0
122,3,0,0.00,0.90,true,93.0217,93.0217,1.0000,0,1.0000,0
123,3,0,0.00,0.90,true,96.3655,96.3655,1.0000,0,1.0000,0
124,3,0,0.00,0.90,true,97.3936,97.3936,1.0000,0,1.0000,0
125,3,0,0.00,0.90,true,100.4747,100.4747,1.0000,0,1.0000,0
126,3,0,0.00,0.90,true,96.5151,96.5151,1.0000,0,1.0000,0
127,3,0,0.00,0.90,true,103.4594,103.4594,1.0000,0,1.0000,0
128,3,0,0.00,0.90,true,103.6128,103.6128,1.0000,0,1.0000,0
129,3,0,0.00,0.90,true,104.0729,104.0729,1.0000,0,1.0000,0
130,3,0,0.00,0.90,true,101.3726,101.3726,1.0000,0,1.0000,0
131,3,0,0.00,0.90,true,101.1204,101.1204,1.0000,0,1.0000,0
132,3,0,0.00,0.90,true,101.4442,101.4442,1.0000,0,1.0000,0
133,3,0,0.00,0.90,true,100.9707,100.9707,1.0000,0,1.0000,0
134,3,0,0.00,0.90,true,102.7701,102.7701,1.0000,0,1.0000,0
135,3,0,0.00,0.90,true,100.8460,100.8460,1.0000,0,1.0000,0
136,3,0,0.00,0.90,true,99.0693,99.0693,1.0000,0,1.0000,0
137,3,0,0.00,0.90,true,97.3198,97.3198,1.0000,0,1.0000,0
138,3,0,0.00,0.90,true,101.5436,101.5436,1.0000,0,1.0000,0
139,3,0,0.00,0.90,true,99.3535,99.3535,1.0000,0,1.0000,0
140,3,0,0.00,0.90,true,92.0316,92.0316,1.0000,0,1.0000,0
141,3,0,0.00,0.90,true,99.0462,99.0462,1.0000,0,1.0000,0
142,3,0,0.00,0.90,true,103.6546,103.6546,1.0000,0,1.0000,0
143,3,0,0.00,0.90,true,99.8269,99.8269,1.0000,0,1.0000,0
144,3,0,0.00,0.90,true,102.2179,102.2179,1.0000,0,1.0000,0
145,3,0,0.00,0.90,true,101.7637,101.7637,1.0000,0,1.0000,0
146,3,0,0.00,0.90,true,97.0896,97.0896,1.0000,0,1.0000,0
147,3,0,0.00,0.90,true,101.9074,101.9074,1.0000,0,1.0000,0
148,3,0,0.00,0.90,true,98.3348,98.3348,1.0000,0,1.0000,0
