round_id,agent_count,byzantine_count,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,api_calls_count,timestamp
0,10,3,0.8,true,2.7585337809974413,3,0.9195112603324804,262238,1,30,1770713141
1,10,3,0.8,true,186.86946409660652,180,0.9618363105744082,251768,1,30,1770713392
2,10,0,0.8,true,10.5,10,0.95,263329,1,30,1770713656
3,10,4,0.8,true,2.8752279430898917,3,0.9584093143632972,267100,1,30,1770713923
4,10,1,0.8,true,186.12413211500058,180,0.9659770438055524,248176,1,30,1770714171
5,10,4,0.8,true,12.040083123033968,10.457530849766613,0.8486686488424107,263483,1,30,1770714435
6,10,3,0.8,true,3.0042180519413613,3,0.9985939826862129,264851,1,30,1770714700
7,10,4,0.8,true,171.65588210587072,180,0.9536437894770595,242043,1,30,1770714942
8,10,3,0.8,true,11.563767683674005,10,0.8436232316325996,262105,1,30,1770715204
9,10,4,0.8,true,2.858288558461652,3,0.9527628528205506,256494,1,30,1770715460
10,10,2,0.8,true,194.07520326265575,180,0.9218044263185792,240352,1,30,1770715701
11,10,3,0.8,true,11.074812294091807,10,0.8925187705908193,249299,1,30,1770715950
12,10,2,0.8,true,3.227066258820191,3,0.9243112470599364,252063,1,30,1770716202
13,10,0,0.8,true,180,180,1,239826,1.0000000000000002,30,1770716442
14,10,3,0.8,true,12.205742251265741,10,0.7794257748734259,255571,1,30,1770716698
15,10,4,0.8,true,2.9075591914275214,3,0.9691863971425071,249007,1,30,1770716947
16,10,0,0.8,true,180,180,1,233174,1.0000000000000002,30,1770717180
17,10,1,0.8,true,11.962483925188788,11.331177663349543,0.9442859091441843,246862,1,30,1770717427
18,10,1,0.8,true,2.9119840859904014,3,0.9706613619968004,246135,1,30,1770717673
19,10,1,0.8,true,185.81096000514185,180,0.967716888860323,230925,1,30,1770717904
20,10,3,0.8,true,12.907828059679574,11.829872628011591,0.9088785259517059,246604,1,30,1770718150
21,10,3,0.8,true,3.189993143737684,3,0.9366689520874387,241471,1,30,1770718392
22,10,3,0.8,true,189.6489341401506,180,0.9463948103324966,230743,1,30,1770718623
23,10,3,0.8,true,10.591396118604122,10,0.9408603881395878,244957,1,30,1770718868
24,10,0,0.8,true,3,3,1,245034,1,30,1770719113
