round_id,agent_count,byzantine_count,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,api_calls_count,timestamp
0,10,4,0.8,true,110.63206554416024,12.17420623846953,0,258096,0,30,1770703182
1,10,2,0.8,true,85.85594880565668,10,0,264723,0,30,1770703447
2,10,0,0.8,true,95,10,0,245607,0,30,1770703692
3,10,2,0.8,true,95.17361796757086,10,0,257634,0,30,1770703950
4,10,3,0.8,true,89.32632989703481,7.574730952547606,0,261639,0,30,1770704212
5,10,0,0.8,true,95.00000000000001,10,0,256711,0,30,1770704468
6,10,0,0.8,true,112,10,0,262310,0,30,1770704731
7,10,1,0.8,true,112,10,0,258237,0,30,1770704989
8,10,2,0.8,true,95.34186299349015,10,0,262158,0,30,1770705251
9,10,3,0.8,true,105.25872806664506,11.206770338374788,0,258532,0,30,1770705510
10,10,3,0.8,true,100.03822966409885,8.478991432239777,0,262596,0,30,1770705772
11,10,4,0.8,true,90.94398429110409,10.236267690452967,0,259343,0,30,1770706032
12,10,4,0.8,true,124.39840742575662,10,0,261304,0,30,1770706293
13,10,2,0.8,true,90.7648712428266,10,0,263626,0,30,1770706557
14,10,0,0.8,true,95.83333333333336,10,0,258017,0,30,1770706815
15,10,1,0.8,true,95.00000000000001,10,0,266684,0,30,1770707081
16,10,2,0.8,true,80.39188470823493,10,0,258846,0,30,1770707340
17,10,1,0.8,true,95,10,0,262263,0,30,1770707602
18,10,0,0.8,true,112,10,0,263315,0,30,1770707866
19,10,0,0.8,true,95,10,0,262362,0,30,1770708128
20,10,2,0.8,true,88.32876982229452,10,0,264250,0,30,1770708392
21,10,4,0.8,true,107.213094977619,10,0,266408,0,30,1770708659
22,10,0,0.8,true,137.5,12.5,0,266668,0,30,1770708925
23,10,0,0.8,true,95.83333333333333,10,0,266549,0,30,1770709192
24,10,3,0.8,true,93.32195606216158,14.106995774025012,0,265318,0,30,1770709457
