ablation_type,config_name,round_id,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,valid_agents_count,detected_byzantine_count,consensus_similarity,api_calls_count,timestamp
ConsensusAlgorithmAblation,threshold_filter,0,true,3,3,1,23688,8,2,1,20,1771047047
ConsensusAlgorithmAblation,threshold_filter,1,true,180,180,1,22088,8,2,1,20,1771047069
ConsensusAlgorithmAblation,threshold_filter,2,true,14.583188712798943,12.5,0.8333449029760845,24422,6,0,0.9409462528079218,20,1771047093
ConsensusAlgorithmAblation,threshold_filter,3,true,5.120660394295425,7,0.731522913470775,21574,6,1,0.9499477629634061,20,1771047115
ConsensusAlgorithmAblation,threshold_filter,4,false,14.900440434875115,13.75,0.9163316047363552,24910,0,2,0,20,1771047140
ConsensusAlgorithmAblation,kmeans,0,true,3.1141037891679177,3,0.961965403610694,23497,9,1,0.9060955889037925,20,1771047163
ConsensusAlgorithmAblation,kmeans,1,true,186.5744716730896,180,0.9634751573717245,22886,9,1,0.909365772910404,20,1771047186
ConsensusAlgorithmAblation,kmeans,2,true,11.25,11.25,1,22201,8,2,0.8386095222035911,20,1771047208
ConsensusAlgorithmAblation,kmeans,3,true,5,4.875,0.9743589743589743,20443,7,2,1,20,1771047229
ConsensusAlgorithmAblation,kmeans,4,true,9.67017927363611,13.75,0.7032857653553535,24689,6,1,0.9291387220644826,20,1771047253
ConsensusAlgorithmAblation,weighted_avg,0,true,2.830503867078349,3,0.9435012890261163,22286,10,0,0.8818766379037606,20,1771047276
ConsensusAlgorithmAblation,weighted_avg,1,true,182.60283032994718,180,0.9855398315002935,21412,10,0,0.9019662169602382,20,1771047297
ConsensusAlgorithmAblation,weighted_avg,2,true,10.312186161826999,10.625,0.9705586975837175,21687,10,0,0.848875196841586,20,1771047319
ConsensusAlgorithmAblation,weighted_avg,3,true,4.641453558914132,4.5,0.9685658757968595,21104,10,0,0.8490901194873823,20,1771047340
ConsensusAlgorithmAblation,weighted_avg,4,true,13.877820184555498,13.75,0.990703986577782,19990,10,0,0.7599379723436354,20,1771047360
PerturbationAblation,perturb_0.5,0,true,2.9477919560855144,3,0.9825973186951714,22354,10,0,1,20,1771047382
PerturbationAblation,perturb_0.5,1,true,167.4158135375467,180,0.9300878529863706,22339,10,0,0.9999999999999998,20,1771047405
PerturbationAblation,perturb_0.5,2,true,12.386599322845106,11.875,0.9569179517604122,22243,10,0,1,20,1771047427
PerturbationAblation,perturb_0.5,3,true,5,7.25,0.6896551724137931,21716,6,2,0,20,1771047449
PerturbationAblation,perturb_0.5,4,true,10,12.5,0.8,22210,6,2,0,20,1771047471
PerturbationAblation,perturb_1.0,0,true,2.893724366403027,3,0.9645747888010091,21688,10,0,1,20,1771047492
PerturbationAblation,perturb_1.0,1,true,164.08304599436644,180,0.9115724777464802,21447,10,0,1,20,1771047514
PerturbationAblation,perturb_1.0,2,true,11.34979777298089,11.875,0.955772444040496,22799,9,0,1,20,1771047537
PerturbationAblation,perturb_1.0,3,true,4.984459938031537,7.25,0.6875117155905568,23442,7,0,1,20,1771047560
PerturbationAblation,perturb_1.0,4,true,9.44722738912126,10,0.944722738912126,21292,9,0,1,20,1771047581
PerturbationAblation,perturb_2.0,0,true,3.0903065960261533,3,0.9698978013246156,21380,10,0,1,20,1771047603
PerturbationAblation,perturb_2.0,1,true,183.62039509970148,180,0.9798866938905473,22353,10,0,1,20,1771047625
PerturbationAblation,perturb_2.0,2,true,10.196107699843498,11.25,0.9063206844305332,22504,8,0,1,20,1771047648
PerturbationAblation,perturb_2.0,3,true,5,4.875,0.9743589743589743,22972,7,2,0,20,1771047671
PerturbationAblation,perturb_2.0,4,true,10.181972512338637,12.5,0.814557800987091,23050,6,2,0,20,1771047694
AgentCountAblation,5_agents,0,true,3.004440447712755,3,0.998519850762415,10572,5,0,1,10,1771047704
AgentCountAblation,5_agents,1,true,196.16970615374385,180,0.9101682991458675,9413,5,0,0.9999999999999998,10,1771047714
AgentCountAblation,5_agents,2,true,10.288387270684682,12.5,0.8230709816547745,9475,3,0,1,10,1771047723
AgentCountAblation,5_agents,3,true,5.239433770628663,4.5,0.8356813843047415,10578,4,0,1,10,1771047734
AgentCountAblation,5_agents,4,true,18.98561930255432,20,0.949280965127716,10886,5,0,1,10,1771047745
AgentCountAblation,10_agents,0,true,2.8744403260085485,3,0.9581467753361829,20960,10,0,1,20,1771047766
AgentCountAblation,10_agents,1,true,171.80857614049793,180,0.954492089669433,21865,10,0,0.9999999999999998,20,1771047787
AgentCountAblation,10_agents,2,true,10.597719201563368,10.625,0.9974323954412582,21613,8,0,0.9999999999999999,20,1771047809
AgentCountAblation,10_agents,3,true,4.938732465711558,9.5,0.5198665753380587,21380,5,2,0,20,1771047830
AgentCountAblation,10_agents,4,true,9.660607813122095,13.75,0.7025896591361523,22570,7,0,1,20,1771047853
AgentCountAblation,15_agents,0,true,3.052757634912189,3,0.9824141216959369,31999,15,0,1,30,1771047885
AgentCountAblation,15_agents,1,true,173.89817706079262,180,0.9661009836710701,34035,15,0,1,30,1771047919
AgentCountAblation,15_agents,2,true,10.50778502079756,11.666666666666666,0.9006672874969337,33040,13,0,0.9999999999999999,30,1771047952
AgentCountAblation,15_agents,3,true,5.178907899746302,8.166666666666666,0.634151987724037,31918,9,3,0,30,1771047984
AgentCountAblation,15_agents,4,true,10.125578040624665,15,0.6750385360416444,32808,8,0,1,30,1771048017
AgentCountAblation,20_agents,0,true,2.9468536711128714,3,0.9822845570376239,41555,20,0,1,40,1771048058
AgentCountAblation,20_agents,1,true,181.1012984476167,180,0.9938816752910183,42316,20,0,1,40,1771048101
AgentCountAblation,20_agents,2,true,10.123274471171626,11.25,0.8998466196597001,44706,17,0,1,40,1771048145
AgentCountAblation,20_agents,3,true,4.944892071540555,7.125,0.694019939865341,45222,13,4,0,40,1771048191
AgentCountAblation,20_agents,4,true,10.110453262871015,13.125,0.7703202485996964,46658,10,4,0,40,1771048237
