round_id,agent_count,byzantine_count,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,api_calls_count,timestamp
0,10,0,0.8,true,3,3,1,271096,1,30,1770711594
1,10,1,0.8,true,176.33202753593406,180,0.9796223751996337,248542,1,30,1770711842
2,10,1,0.8,true,11.67162684337053,10,0.8328373156629469,269936,1,30,1770712112
3,10,3,0.8,true,2.7633116695936883,3,0.9211038898645628,274449,1,30,1770712387
4,10,0,0.8,true,180,180,1,250547,1.0000000000000002,30,1770712637
5,10,3,0.8,true,12.923944395145659,14.45122774916937,0.8943146298340294,271272,1,30,1770712909
6,10,1,0.8,true,3.1199492667511777,3,0.9600169110829407,265127,1,30,1770713174
7,10,0,0.8,true,180,180,1,251302,1.0000000000000002,30,1770713425
8,10,2,0.8,true,10.161647869316875,10,0.9838352130683126,268818,1,30,1770713694
9,10,1,0.8,true,3.129079976926831,3,0.9569733410243897,262268,1,30,1770713956
10,10,1,0.8,true,188.90822944527477,180,0.9505098364151402,250945,1,30,1770714207
11,10,0,0.8,true,11.875,12.5,0.95,263853,0.9999999999999999,30,1770714471
12,10,3,0.8,true,2.9372359384545943,3,0.9790786461515314,259149,1,30,1770714730
13,10,0,0.8,true,180,180,1,243303,1.0000000000000002,30,1770714974
14,10,4,0.8,true,13.15416727630178,12.116336783735564,0.914344532420116,263536,1,30,1770715237
15,10,4,0.8,true,3.036544752991126,3,0.9878184156696247,260107,1,30,1770715497
16,10,1,0.8,true,186.17402187483165,180,0.9656998784731575,241377,1,30,1770715739
17,10,2,0.8,true,12.772652960864415,14.70428536302545,0.8686347310003785,255456,0,30,1770715994
18,10,4,0.8,true,3.23326252885681,3,0.9222458237143966,254759,1,30,1770716249
19,10,4,0.8,true,184.62579831168932,180,0.9743011204906149,240873,1,30,1770716490
20,10,3,0.8,true,9.627354614665895,10,0.9627354614665895,252380,0,30,1770716742
21,10,4,0.8,true,2.902777039240136,3,0.9675923464133787,248695,1,30,1770716991
22,10,3,0.8,true,173.5986482699634,180,0.96443693483313,236919,1,30,1770717228
23,10,1,0.8,true,11.866046266859886,10.897208200869489,0.9110930021587462,246489,0.9999999999999998,30,1770717474
24,10,1,0.8,true,2.912238412494851,3,0.9707461374982836,244540,1,30,1770717719
