round_id,agent_count,byzantine_count,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,api_calls_count,timestamp
0,10,0,0.8,true,3,3,1,247721,1,30,1770719412
1,10,4,0.8,true,195.15385754134041,180,0.9158119025481088,225882,1,30,1770719638
2,10,1,0.8,true,12.933604240627025,15,0.8622402827084683,243400,1,30,1770719881
3,10,0,0.8,true,3,3,1,240794,1,30,1770720122
4,10,4,0.8,true,185.1211743796628,180,0.9715490312240956,227062,1.0000000000000002,30,1770720349
5,10,2,0.8,true,12.33267783580778,12.82557512194213,0.9615691864537836,241576,0,30,1770720590
6,10,2,0.8,true,3.0079069387518578,3,0.9973643537493807,244423,1,30,1770720835
7,10,2,0.8,true,192.70666110342037,180,0.9294074383143313,227443,1.0000000000000002,30,1770721062
8,10,4,0.8,true,10.329664775910086,10,0.9670335224089914,246004,1,30,1770721308
9,10,3,0.8,true,3.163054127423218,3,0.9456486241922607,242522,1,30,1770721551
10,10,0,0.8,true,180,180,1,227446,1.0000000000000002,30,1770721778
11,10,3,0.8,true,10.936136633495279,10,0.9063863366504721,242122,1,30,1770722020
12,10,4,0.8,true,3.0305325763430986,3,0.9898224745523004,239493,1,30,1770722260
13,10,3,0.8,true,166.56716899697847,180,0.9253731610943248,227179,1.0000000000000002,30,1770722487
14,10,0,0.8,true,11.875,12.5,0.95,241853,0.9999999999999999,30,1770722729
15,10,1,0.8,true,2.9268194365638815,3,0.9756064788546271,248544,1,30,1770722977
16,10,3,0.8,true,200.4157941700127,180,0.8865789212777072,238521,1,30,1770723216
17,10,4,0.8,true,11.404698538898069,13.632531297844672,0.8365796703288092,253079,0,30,1770723469
18,10,2,0.8,true,3.2125837572291602,3,0.9291387475902799,253665,1,30,1770723723
19,10,3,0.8,true,166.66363536271132,180,0.9259090853483962,231186,1,30,1770723954
20,10,0,0.8,true,11.25,10,0.875,243692,0.9999999999999999,30,1770724198
21,10,2,0.8,true,3.20244160150948,3,0.9325194661635067,246377,1,30,1770724444
22,10,2,0.8,true,180.73387407796574,180,0.9959229217890793,233902,1,30,1770724678
23,10,4,0.8,true,11.422715838075828,11.029677985739134,0.9643654281797824,249338,1,30,1770724927
24,10,4,0.8,true,3.0981498182636633,3,0.9672833939121123,248792,1,30,1770725176
