round_id,agent_count,byzantine_count,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,api_calls_count,timestamp
0,10,3,0.8,true,110.83333333333333,55.357142857142854,0,256621,0,30,1770635766
1,10,2,0.8,true,108.71280204571195,34.6875,0,230553,0,30,1770635997
2,10,4,0.8,true,194.2906137234949,65.83333333333333,0,213490,0,30,1770636210
3,10,1,0.8,true,175,65.27777777777777,0,215806,0,30,1770636426
4,10,0,0.8,true,10.833333333333334,32.85,0.3297818366311518,220307,0,30,1770636646
5,10,2,0.8,true,119.18801123665664,52.8125,0,231061,0,30,1770636878
6,10,3,0.8,false,0,62.5,0,248281,0,30,1770637126
7,10,1,0.8,true,170,65.83333333333333,0,240910,0,30,1770637367
8,10,0,0.8,true,89.375,44,0,288279,1,30,1770637655
9,10,1,0.8,true,170,48.611111111111114,0,275941,0,30,1770637931
10,10,0,0.8,true,170,59.5,0,266014,0,30,1770638197
11,10,3,0.8,true,97.5,36.42857142857143,0,244315,0,30,1770638441
12,10,0,0.8,true,92.5,44,0,259812,0,30,1770638701
13,10,1,0.8,true,173.33333333333334,66.94444444444444,0,275458,0,30,1770638977
14,10,2,0.8,true,194.99628465317784,32.1875,0,256318,0,30,1770639233
15,10,1,0.8,true,175,49.72222222222222,0,203544,0,30,1770639437
16,10,1,0.8,true,166.00000000000003,69.77777777777777,0,206972,0,30,1770639644
17,10,1,0.8,false,0,53.05555555555556,0,218522,0,30,1770639862
18,10,3,0.8,true,125.1141891286544,34.857142857142854,0,216929,0,30,1770640079
19,10,1,0.8,true,15,32.5,0.46153846153846156,203153,0,30,1770640282
20,10,3,0.8,true,102.17719577609024,34.642857142857146,0,243824,0,30,1770640526
21,10,0,0.8,true,176.66666666666666,61.5,0,241894,0,30,1770640768
22,10,1,0.8,true,92.5,53.05555555555556,0.25654450261780115,246536,0,30,1770641014
23,10,2,0.8,true,114.16666666666667,52.8125,0,248307,0,30,1770641263
24,10,3,0.8,true,136.84192472471275,12.5,0,259552,0,30,1770641522
